fen,cp
rnbqk2r/pp1p1ppp/4pn2/2b5/5B2/2N2N2/PPP1PPPP/R2QKB1R b KQkq -,-30.0
r4rk1/pp2ppbp/3pbnp1/q5B1/2P1P3/2N5/PP1QBPPP/R4RK1 w - -,34.0
rn1qkbnr/1p3ppp/p1p1p3/3p4/3PP1b1/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,21.0
rnb1k2r/pp1p1ppp/1q2pn2/2b5/5B2/2N2N2/PPP1PPPP/R2QKB1R w KQkq -,-20.0
rnb1k2r/1pqp1ppp/p3pn2/2b5/3NP3/2NB4/PPP2PPP/R1BQ1RK1 w kq -,43.0
rn1qkbnr/1p3ppp/p1p1p3/3p4/3PP1b1/2NB1N1P/PPP2PP1/R1BQK2R b KQkq -,65.0
rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,49.0
b3r3/p4k2/1bn1p1N1/1Rp1Pp1P/P1Pp2p1/3P2P1/3B1PB1/6K1 b - -,572.0
2br2k1/5pp1/1p3q1p/2pBpP2/2P1P3/P6P/2Q3P1/5RK1 w - -,173.0
rnb1k2r/1pqpbppp/p3pn2/8/4P3/1NNB4/PPP2PPP/R1BQ1RK1 w kq -,34.0
rn1qkbnr/1p3ppp/p1p1p3/3p3b/3PP3/2NB1N1P/PPP2PP1/R1BQK2R w KQkq -,43.0
rnb1k2r/1pqpbppp/p3pn2/8/4PP2/1NNB4/PPP3PP/R1BQ1RK1 b kq -,30.0
rnbqkb1r/pppp1ppp/5n2/8/2BpP3/8/PPP2PPP/RNBQK1NR w KQkq -,-16.0
r1b1nrk1/pp2qppp/2nbp3/1N4B1/2B5/5N2/PP2QPPP/R2R2K1 b - -,93.0
rnb1k2r/1pq1bppp/p2ppn2/8/4PP2/1NNB4/PPP3PP/R1BQ1RK1 w kq -,69.0
rnbqkb1r/pp3pp1/2p1pn1p/3p4/2PP3B/2N2N2/PP2PPPP/R2QKB1R b KQkq -,0.0
r1b1nrk1/pp2q1pp/2nbpp2/1N6/2B5/4BN2/PP2QPPP/R2R2K1 b - -,55.0
r1bqkbnr/pppp1ppp/8/8/3QP3/8/PPP2PPP/RNB1KB1R b KQkq -,47.0
rnbqkb1r/pp3pp1/2p1pn1p/8/2pPP2B/2N2N2/PP3PPP/R2QKB1R b KQkq -,0.0
r1bqkb1r/pppppppp/2n2n2/8/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,41.0
rnbq1rk1/pp3ppp/5n2/2pp4/1b1P4/2NBP3/PP2NPPP/R1BQK2R w KQ -,32.0
r1bqkb1r/pppppppp/2n2n2/8/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq -,23.0
rn1qkbnr/pp2pppp/2p5/3pP3/3P4/3P4/PP3PPP/RNBQK1NR b KQkq -,0.0
rnbqr1k1/pp3pbp/3p1np1/2pP4/4P3/2NB1N1P/PP3PP1/R1BQ1RK1 b - -,78.0
2rq1rk1/pp1bppbp/2np1np1/8/3NP3/1BN1BP2/PPPQ2PP/2KR3R b - -,33.0
rn2kbnr/pp1q1ppp/3p4/4p3/4P3/8/PPP1NPPP/RNBQK2R b KQkq -,79.0
r3qrk1/pppnppbp/2np2pB/8/3PP3/2N1Qb2/PPP2PPP/2KR1B1R w - -,145.0
rnbqkbnr/pp2pppp/3p4/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq -,0.0
rnbqkb1r/ppp1pp1p/3p1np1/6B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq -,49.0
r1bqr1k1/1p1n1pbp/p2p1np1/2pP4/P3PB2/2NB1N1P/1P3PP1/R2Q1RK1 b - -,162.0
rn1qk1nr/pbppbppp/1p2p3/6B1/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq -,-3.0
rnbqkbnr/ppp2ppp/8/4p3/4N3/8/PPPP1PPP/RNBQKB1R b KQkq -,-112.0
8/8/2B3N1/5p2/6p1/6pk/4K2b/7r w - -,4.0
r1bqkbnr/pp2pppp/2n5/1B1pN3/8/8/PPPP1PPP/RNBQK2R b KQkq -,0.0
r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,13.0
rnbqkb1r/pp3ppp/5n2/3p4/3p4/2N3P1/PP2PPBP/R1BQK1NR w KQkq -,-24.0
rnbqkb1r/pp3ppp/2p2n2/4p3/3pP3/3N4/PPPP1PPP/R1BQKBNR w KQkq -,0.0
rnbqk1nr/1p1pbppp/p3p3/8/4P3/1N1B4/PPP2PPP/RNBQK2R w KQkq -,84.0
rnbqkbnr/ppppp1pp/8/5p2/3P4/3Q4/PPP1PPPP/RNB1KBNR b KQkq -,25.0
rnbqkbnr/pppp1ppp/8/8/2BpP3/8/PPP2PPP/RNBQK1NR b KQkq -,-25.0
rnbqkb1r/pp3ppp/5n2/2pp4/3P4/2N3P1/PP2PPBP/R1BQK1NR b KQkq -,-45.0
rn1qkb1r/pp2nppp/2p1p3/3pP3/3P4/2NP1N2/PP3PPP/R1BQK2R b KQkq -,0.0
r1bqk1nr/1p1nbp1p/p2pp1p1/8/4P3/1N1B4/PPP1QPPP/RNB2RK1 w kq -,84.0
rnbqkb1r/pppp2p1/4pn1p/5pB1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq -,47.0
rnbqkb1r/pppp1ppp/8/8/2BQn3/2P5/PP3PPP/RNB1K1NR b KQkq -,-197.0
rnbqkb1r/ppp2ppp/5n2/3pP3/2Bp4/8/PPP2PPP/RNBQK1NR w KQkq d6,-111.0
rnbqkb1r/pppp1ppp/4pn2/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq -,22.0
rnb1kb1r/pppp2p1/4pq1p/5p2/2PPP3/2N5/PP3PPP/R2QKBNR b KQkq -,0.0
r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/2B1P3/2NP1N2/PPPB1PPP/R2Q1RK1 b - -,0.0
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,28.0
rnbqkbnr/ppp3pp/8/4pp2/4N3/8/PPPP1PPP/RNBQKB1R w KQkq -,-98.0
rnbqkbnr/pppp1ppp/8/4p3/3P4/2P5/PP2PPPP/RNBQKBNR b KQkq -,0.0
r3k1nr/1bqnbp1p/pp1pp1p1/8/4PP2/1NNB4/PPPBQ1PP/4RRK1 b kq -,36.0
r1bqkbnr/pppp1ppp/2n5/4p3/3P4/2P5/PP2PPPP/RNBQKBNR w KQkq -,34.0
rnb1kb1r/pppp2p1/4pq1p/5p2/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq -,13.0
r3k2r/1bqnbp1p/pp1ppnp1/8/4PP2/1NNB4/PPPBQ1PP/4RRK1 w kq -,44.0
r1bqkb1r/p1p2ppp/2n5/1B1np1N1/8/8/PPPP1PPP/RNBQK2R b KQkq -,101.0
rnbqkb1r/pppp1ppp/5n2/8/2BpP3/2P5/PP3PPP/RNBQK1NR b KQkq -,-186.0
r1b1Rq1k/ppp3pp/2np1r2/5P2/2B2P2/2Q4P/PB4P1/5RK1 b - -,914.0
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq -,-9.0
r3k2r/1bqnbp1p/pp2p1p1/3nP3/4N3/1N1B4/PPPBQ1PP/4RRK1 b kq -,130.0
6k1/5pp1/4b1n1/8/8/3BR3/5PPP/6K1 w - -,21.0
rnb1kbnr/ppp1pppp/3q4/8/8/2N2N2/PP1PPPPP/R1BQKB1R b KQkq -,59.0
rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/3B4/PPP2PPP/RNBQK2R b KQkq -,37.0
r1b1q2k/ppp3pp/2np1r2/5P2/2B2P2/2Q4P/PB4P1/5RK1 w - -,933.0
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq -,33.0
R7/8/8/7p/8/4n1k1/3r4/4K3 b - -,-19.0
r1b1q2k/ppp3pp/2np1Q2/5P2/2B2P2/7P/PB4P1/5RK1 b - -,836.0
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,13.0
r2qkb1r/pbp2ppp/2n5/1B1np1N1/8/8/PPPP1PPP/RNBQK2R w KQkq -,113.0
r1bqkb1r/1ppp1ppp/p1n5/1B2p3/3Pn3/5N2/PPP2PPP/RNBQ1RK1 w kq -,58.0
rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPPNPPPP/R1BQKBNR b KQkq -,-18.0
r1b1q2k/ppp4p/2np1p2/5P2/2B2P2/7P/PB4P1/5RK1 w - -,1.0
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,11.0
rnbqkb1r/pp3ppp/5n2/2pp4/3P4/6P1/PP2PPBP/RNBQK1NR w KQkq -,44.0
r1bq1rk1/pppnppbp/3p1np1/8/3PPB2/2N5/PPPQ1PPP/2KR1BNR w - -,115.0
rnbqkbnr/ppp1pppp/8/3P4/8/8/PP1PPPPP/RNBQKBNR b KQkq -,66.0
rnbqkb1r/1p1p1ppp/p3pn2/8/3NP3/3B4/PPP2PPP/RNBQK2R w KQkq -,36.0
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/3Q4/PPP1PPPP/RNB1KBNR w KQkq -,93.0
rnbqkb1r/1p1p1ppp/p3pn2/8/3NP3/3B4/PPP2PPP/RNBQ1RK1 b kq -,58.0
rn1qkb1r/ppp1pppp/8/3n1b2/3P4/5N2/PP2PPPP/RNBQKB1R w KQkq -,93.0
rnbq1rk1/pp2ppbp/2pp1npB/8/3PP3/2N5/PPPQ1PPP/2KR1BNR b - -,107.0
rnb1kb1r/1pqp1ppp/p3pn2/8/3NP3/3B4/PPP2PPP/RNBQ1RK1 w kq -,67.0
8/8/8/8/6np/R5k1/3r4/5K2 b - -,-18.0
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,19.0
rnbqkbnr/ppp3pp/8/4pp2/8/2N5/PPPP1PPP/RNBQKB1R b KQkq -,-98.0
2r1rbk1/5pp1/3P1n2/8/8/3Q3P/2B2PPK/8 w - -,338.0
rnb1kbnr/ppp1pppp/8/3q4/8/8/PP1PPPPP/RNBQKBNR w KQkq -,75.0
rnb1kb1r/1pq2ppp/p2ppn2/8/3NP3/3B4/PPP1QPPP/RNB2RK1 w kq -,61.0
r1bqkb1r/p2n1ppp/2p1pn2/1p6/3P4/2N1PN2/PP2BPPP/R1BQK2R b KQkq -,0.0
r2qkb1r/pb1n1ppp/2p1pn2/1p6/3P4/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,0.0
rnbqkbnr/pppp2pp/4p3/5p2/2PPP3/8/PP3PPP/RNBQKBNR b KQkq -,-61.0
rnb1kb1r/1pq2p1p/p2ppnp1/8/2PNP3/3B4/PP2QPPP/RNB2RK1 w kq -,75.0
rnbqkb1r/ppp2ppp/8/4p3/4B3/8/PPPP1PPP/R1BQK1NR b KQkq -,-58.0
rn1q1rk1/1p2bppp/p2pbn2/4p3/2B1P3/2N1BN2/PPP2PPP/R2Q1RK1 w - -,29.0
r2qkb1r/1b1n1ppp/p1p1pn2/1p6/3P4/2N1PN2/PP2BPPP/R1BQ1RK1 w kq -,0.0
r2qkb1r/pb1n1ppp/2p1pn2/1p6/3P4/2N1PN2/PP2BPPP/R1BQ1RK1 b kq -,0.0
rnb1k2r/1pq2pbp/p2ppnp1/8/2PNP3/2NB4/PP2QPPP/R1BR2K1 b kq -,93.0
r1bqkb1r/pppp1ppp/2Bn4/4p3/3P4/5N2/PPP2PPP/RNBQ1RK1 b kq -,14.0
rnbqkb1r/pppp2pp/4pn2/5p2/3P4/3Q1N2/PPP1PPPP/RNB1KB1R w KQkq -,32.0
rnbqkb1r/pp3ppp/4pn2/2pp2N1/2B1P3/3P4/PPP2PPP/RNBQK2R w KQkq -,-36.0
8/7p/p7/4kpPP/3p4/3K4/P7/8 w - -,15.0
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -,24.0
r1bqkb1r/p1pp1ppp/2pn4/4p3/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq -,143.0
rn2kb1r/1bqp1ppp/p3pn2/1p6/3NP3/P1N1BP2/1PP3PP/R2QKB1R w KQkq -,0.0
rnbq1rk1/ppp1ppbp/3p1np1/8/3PPB2/2N5/PPPQ1PPP/2KR1BNR b - -,71.0
r1bq1rk1/2p1bppp/p7/1p1nR3/8/1BP5/PP1P1PPP/RNBQ2K1 b - -,32.0
rn1q1rk1/1p2b1pp/p2ppn2/4p3/N3P3/4BN2/PPP2PPP/R2Q1RK1 b - -,0.0
r1bqkb1r/p1pp1ppp/2pn4/4P3/8/5N2/PPP2PPP/RNBQ1RK1 b kq -,77.0
r1bq1rk1/4bppp/p1p5/1p1nR3/8/1BP5/PP1P1PPP/RNBQ2K1 w - -,7.0
2b5/7p/3k2pP/1p1p1pP1/1P1P1K2/8/5P2/3B4 w - -,17.0
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq -,32.0
r1bq1rk1/4bppp/p1p5/1p1nR3/3P4/1BP5/PP3PPP/RNBQ2K1 b - -,25.0
r1bqkb1r/p1pp1ppp/2p5/4Pn2/8/5N2/PPP2PPP/RNBQ1RK1 w kq -,87.0
r1b4k/ppp1q1pp/2np1Q2/5P2/2B2P2/7P/PB4P1/5RK1 w - -,2139.0
r1bqr1k1/p4ppp/2pb4/n2np3/8/2NB1N2/PPPP1PPP/R1BQR1K1 b - -,71.0
r1bq1rk1/5ppp/p1pb4/1p1nR3/3P4/1BP5/PP3PPP/RNBQ2K1 w - -,52.0
q3kbnr/p1pn1ppp/8/4p3/2Pp2b1/3P1P2/PP2P2P/RNBQK1NR b KQk -,-84.0
rnbqkb1r/pp2pp1p/3p2p1/8/3NP1n1/2N1B3/PPP2PPP/R2QKB1R w KQkq -,623.0
rnbqkb1r/pppp1ppp/8/4p3/2B1n3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,17.0
8/8/5p2/4k1pp/2P4P/4K1P1/8/8 w - -,21.0
r1bq1rk1/5ppp/p1pb4/1p1n4/3P4/1BP5/PP3PPP/RNBQR1K1 b - -,2.0
rn1qkb1r/pp3ppp/4pn2/3p1b2/2PP4/1QN2N2/PP3PPP/R1B1KB1R b KQkq -,56.0
r1bqr1k1/p5pp/2pb4/n2npp2/8/2NB1N2/PPPP1PPP/R1BQR1K1 w - -,76.0
r1b2rk1/5ppp/p1pb4/1p1n4/3P3q/1BP5/PP3PPP/RNBQR1K1 w - -,0.0
r1bqr1k1/p5pp/2pb4/n2Npp2/8/3B1N2/PPPP1PPP/R1BQR1K1 b - -,62.0
rnbqkb1r/pppppppp/5n2/8/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq -,0.0
8/8/1p1k4/7p/PP1Kpp2/8/5PP1/8 b - -,-5674.0
4kb1r/p2B1ppp/4qn2/4p1B1/4P3/1Q6/PPP2PPP/2KR4 b k -,7588.0
r1bqr1k1/p5pp/3b4/n2ppp2/8/3B1N2/PPPP1PPP/R1BQR1K1 w - -,78.0
rnbqkb1r/pp2pppp/3p1n2/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq -,-15.0
rnbqkb1r/pppp1ppp/4pn2/8/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq -,34.0
rn1qkb1r/ppp1pppp/5n2/5bN1/8/2Np4/PPP2PPP/R1BQKB1R w KQkq -,-90.0
r1bqr1k1/p5pp/3b4/nB1ppp2/8/5N2/PPPP1PPP/R1BQR1K1 b - -,16.0
rnbqkbnr/ppp2ppp/4p3/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq -,13.0
rnbqkb1r/1p2pppp/p2p1n2/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,18.0
rnbqkb1r/pppp1ppp/4pn2/8/3P4/2N1B3/PPP1PPPP/R2QKBNR b KQkq -,-44.0
rn1qk1nr/pp3ppp/2p1p1b1/3p4/1b1P1BPP/2N1PP2/PPP5/R2QKBNR b KQkq -,-48.0
r2qr1k1/p2b2pp/3b4/nB1ppp2/8/5N2/PPPP1PPP/R1BQR1K1 w - -,37.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq -,-25.0
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq -,17.0
rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/2N1B3/PPP1PPPP/R2QKBNR w KQkq -,-42.0
r3r1k1/p2q2pp/3b4/n2ppp2/8/5N2/PPPP1PPP/R1BQR1K1 w - -,14.0
1n1q1rk1/1r2b1pp/p2pp3/1p1Np3/4P3/5N2/PPPQ1PPP/R4RK1 b - -,19.0
rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq -,-94.0
3r1k2/pp1n2pb/q1p1Qp1N/2P2r2/3Pp2p/P1P1B2P/6P1/1R1R2K1 b - -,1478.0
3r1k2/pp1n2pb/2p1Qp1N/2P2r2/2qPp2p/P1P1B2P/6P1/1R1R2K1 w - -,21.0
rnbqkbnr/ppp2ppp/4p3/3pP3/8/2N5/PPPP1PPP/R1BQKBNR b KQkq -,-70.0
rnbqkbnr/ppp1pppp/8/8/2pPP3/8/PP3PPP/RNBQKBNR b KQkq -,23.0
r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,34.0
r2qkbnr/pBpnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQkq -,-21.0
rn1qkb1r/ppp2ppp/4pn2/6N1/8/2Nb1Q2/PPP2PPP/R1B1K2R w KQkq -,-30.0
8/1r3k2/2q1ppp1/8/5PB1/4P3/4QK2/5R2 w - -,21.0
r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,32.0
4K3/4P1k1/8/8/8/8/r7/5R2 w - -,18.0
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQR1K1 b - -,16.0
rnbqkbnr/pp3ppp/4p3/2p1P3/3pN3/8/PPPP1PPP/R1BQKBNR w KQkq -,17.0
r1b1kb1r/pp1n1ppp/2p1pn2/q2p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq -,22.0
r1bqkbnr/pp2pppp/2n5/1B1p4/8/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,-15.0
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQR1K1 w - -,16.0
r1b1kb1r/pp1n1ppp/2p1pn2/q2P2B1/3P4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,17.0
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BPP1N2/PP3PPP/RNBQR1K1 b - -,2.0
r2qkbnr/pp2pppp/2n5/1B1p4/6b1/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,-10.0
8/5pk1/8/4p3/pp1qPn2/5P2/PP2B3/2Q2K2 b - -,-20.0
rnbqkb1r/pppp1ppp/5n2/4p3/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -,-18.0
r1bq1rk1/4bppp/p2p1n2/npp1p3/4P3/2PP1N2/PPB2PPP/RNBQR1K1 w - -,0.0
8/8/2P5/3K1k2/2R3p1/3q4/8/8 w - -,-6070.0
r1b1kb1r/pp1n1ppp/2p1p3/q2n2B1/3P4/2N1PN2/PP3PPP/R2QKB1R w KQkq -,27.0
r1bqkb1r/ppp2ppp/2p2n2/8/4P3/8/PPP2PPP/RNBQKB1R w KQkq -,98.0
rn1qkb1r/pQp2ppp/4pn2/5bN1/8/2Np4/PPP2PPP/R1B1KB1R b KQkq -,-44.0
R2K4/3P1k2/8/8/8/8/2r5/8 b - -,21.0
8/8/2P5/3K1k2/3R2p1/3q4/8/8 b - -,-9.0
r1bqk2r/1ppp1ppp/p1n2n2/2b1p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,0.0
rnbqkbnr/pppp1ppp/8/8/2B1P3/8/Pp3PPP/RNBQK1NR w KQkq -,-43.0
r2qkb1r/pQpn1ppp/4pn2/5bN1/8/2Np4/PPP2PPP/R1B1KB1R w KQkq -,-44.0
8/3qk3/8/3b4/5B2/3K1Q2/8/8 b - -,-10.0
r1bq1rk1/pppnppbp/3p1npB/8/3PP3/2N5/PPPQ1PPP/2KR1BNR b - -,105.0
r1b1kb1r/pp1n1ppp/2p1p3/q2n2B1/3P4/2N1PN2/PP1Q1PPP/R3KB1R b KQkq -,14.0
r1bqk2r/1pp2ppp/p1np1n2/2b1p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq -,26.0
rnbqkb1r/pp2pp1p/3p2p1/1B6/3NP1n1/2N1B3/PPP2PPP/R2QK2R b KQkq -,625.0
r1b1k2r/pp1n1ppp/2p1p3/q2n2B1/1b1P4/2N1PN2/PP1Q1PPP/R3KB1R w KQkq -,18.0
8/4K1k1/4P3/8/8/8/r7/3R4 w - -,25.0
r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,33.0
rnbqkb1r/pppppp1p/5np1/8/2PP4/5P2/PP2P1PP/RNBQKBNR b KQkq -,24.0
rnbqkb1r/pppppp1p/5np1/6B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq -,11.0
r1bq1rk1/4bppp/p2p1n2/npp1p3/4P3/2PP1N2/PPBN1PPP/R1BQR1K1 b - -,0.0
8/5pk1/8/4p3/pp2Pn2/5P2/PP2B3/2Q2Kq1 w - -,-21.0
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/3PP3/5N2/PPP2PPP/RNBQK2R b KQkq -,0.0
rnb1kb1r/pp2pppp/1q3n2/3p4/3P1B2/2N5/PP2PPPP/2RQKBNR b Kkq -,17.0
r1b1k2r/pp1n1ppp/2p1p3/q2n2B1/1b1P4/2N1PN2/PP1Q1PPP/2R1KB1R b Kkq -,8.0
rnbqk1nr/ppp2ppp/8/3p4/1b1P4/2NB4/PPP2PPP/R1BQK1NR b KQkq -,24.0
rnbqkbnr/pppp1ppp/8/4P3/2B5/8/PB3PPP/RN1QK1NR w KQkq -,119.0
rnbqkb1r/ppp1pp1p/5np1/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR w KQkq -,0.0
r1bq1rk1/1pp2ppp/p1np1n2/2b1p3/B3P3/2P2N2/PP1P1PPP/RNBQR1K1 w - -,50.0
8/5pk1/8/4p3/pp2P3/5P2/PP2n3/2Q3K1 w - -,-11764.0
r1bqkb1r/ppp2ppp/2n5/3np3/8/2NP1N2/PPP2PPP/R1BQKB1R w KQkq -,-16.0
r1bqkbnr/pp2p1pp/2n2p2/1B1p4/8/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,88.0
8/1b1R1ppk/p3p2p/1p6/3Pp3/1P2b1P1/P5KP/8 b - -,-918.0
rnbqk2r/ppp1ppbp/5np1/3p2B1/3P4/5N2/PPPNPPPP/R2QKB1R w KQkq -,12.0
rnbqkbnr/pp2pppp/2p5/8/2pPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,18.0
r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,36.0
r1bqkb1r/pppn1ppp/4N3/nB1Pp3/8/8/PPPP1PPP/RNBQK2R b KQkq -,144.0
8/5pk1/8/4p3/pp2P3/5P2/PP2nK2/2Q5 b - -,-7977.0
r1bqk2r/pppp1pp1/2n2n1p/2b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQK2R b KQkq -,14.0
rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/1P6/P3PPPP/RNBQKBNR b KQkq -,0.0
r1bqkbnr/pppp1ppp/2n5/8/3pP3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,-7.0
r1bqkb1r/p3pp1p/2pp2p1/1B6/4P1n1/2N1B3/PPP2PPP/R2QK2R w KQkq -,496.0
rnbqkb1r/p2ppppp/5n2/2pP4/1pP5/1P6/P3PPPP/RNBQKBNR w KQkq -,71.0
rnbq1rk1/ppp1ppb1/5npp/3p4/3P3B/4PN2/PPPN1PPP/R2QKB1R w KQ -,21.0
8/8/3kb3/8/8/3KQ3/8/8 w - -,10.0
1Q2kb1r/p2n1ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4 b k -,1.0
3K4/3P4/6k1/8/5R2/8/2r5/8 w - -,17.0
r1bqk1nr/ppp2ppp/2n5/3p4/1b1P4/2NB4/PPP2PPP/R1BQK1NR w KQkq -,50.0
rnbqk2r/ppppppbp/5np1/6B1/3P4/5N2/PPPNPPPP/R2QKB1R b KQkq -,8.0
r1bq1rk1/4bppp/p1np1n2/1pp1p3/4P3/2PP1N2/PPBN1PPP/R1BQR1K1 w - -,6.0
r1bq1rk1/pppnppbp/3p1np1/8/3PPB2/2N2N2/PPPQ1PPP/2KR1B1R b - -,82.0
r1bqkb1r/pp2pp1p/2np2p1/1B6/3NP1n1/2N1B3/PPP2PPP/R2QK2R w KQkq -,343.0
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,12.0
r1bqkb1r/pppp1ppp/2N2n2/8/4P3/8/PPP2PPP/RNBQKB1R b KQkq -,13.0
rnbqkbnr/pppp1ppp/8/4P3/2B5/5Q2/PB3PPP/RN2K1NR b KQkq -,-20.0
rnbq1rk1/ppp1ppbp/5np1/3p2B1/3P4/4PN2/PPPN1PPP/R2QKB1R w KQ -,28.0
rnbq1rk1/ppp1ppbp/5np1/3p2B1/3P4/3BPN2/PPPN1PPP/R2QK2R b KQ -,0.0
r1bq1rk1/4bppp/p1np1n2/1pp1p3/4P3/2PP1N2/PPB2PPP/R1BQRNK1 b - -,1.0
rnbq1rk1/pp2ppbp/5np1/2pp2B1/3P4/3BPN2/PPPN1PPP/R2QK2R w KQ -,-2.0
4k3/R4br1/8/p3P3/4N3/5K2/8/8 w - -,25.0
rnb1kb1r/pp2pppp/1q3n2/3p4/3P1B2/2N5/PPQ1PPPP/R3KBNR b KQkq -,0.0
r1bqkb1r/pp2pp1p/2Np2p1/1B6/4P1n1/2N1B3/PPP2PPP/R2QK2R b KQkq -,574.0
3K4/3P2k1/8/8/5R2/8/2r5/8 b - -,17.0
rnbq1rk1/pp2ppbp/5np1/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2QK2R b KQ -,5.0
r1b2rk1/2q1bppp/p1np1n2/1pp1p3/4P3/2PP1N2/PPB2PPP/R1BQRNK1 w - -,14.0
r1bqkb1r/p1p2ppp/2p2n2/3p4/3QP3/5N2/PPP2PPP/RNB1K2R w KQkq -,0.0
r1b1kb1r/pp2pppp/1qn2n2/3p4/3P1B2/2N5/PPQ1PPPP/R3KBNR w KQkq -,19.0
r1bqk1nr/pppp1ppp/2n5/8/1b2P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,-24.0
rnb1k2r/1pqp1ppp/p3pn2/8/1b1NP3/2N1BP2/PPPQ2PP/R3KB1R b KQkq -,-67.0
r1bq1rk1/pp2ppbp/2n2np1/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2QK2R w KQ -,36.0
