fen,cp
r1bqk2r/ppp2ppp/2nbp3/3n4/3P4/5N2/PPP1BPPP/RNBQ1RK1 w kq -,98.0
r7/2k1Pp1p/p1n2p2/P1b1r3/2p5/2P3P1/5P1P/1R1Q2K1 w - -,728.0
2b1kr2/p6r/1p2pQ2/5p2/2pP4/2P5/PP3PB1/R5K1 w - -,1109.0
rnbq1rk1/ppppppbp/5np1/4P3/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQ -,137.0
rnbqkbnr/ppp2ppp/8/3pP3/2P5/8/PP2PPPP/RNBQKBNR b KQkq -,75.0
r2q1rk1/pp1bppbp/2np1np1/8/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 w - -,73.0
r1bqkb1r/ppp2p1p/2np4/4n1p1/2P5/2B1P3/PP3PPP/RN1QKBNR w KQkq -,42.0
rn1qk2r/pb1p1pp1/1p2pn1p/2p5/1bPP3B/2N2N2/PPQ1PPPP/R3KB1R w KQkq -,61.0
r4rk1/pbpp1ppp/1p6/2bBPP2/8/1QPp1P1q/PP1P3P/RNB3RK b - -,-1721.0
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -,16.0
r1bq1rk1/pppnppbp/3p1np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - -,56.0
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq -,14.0
rnbqk2r/pp3pbp/3ppnp1/2pP4/2P1PP2/2N5/PP4PP/R1BQKBNR w KQkq -,21.0
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,0.0
2r3k1/q5pp/4p3/2Bp1p2/1p3P2/1P1QP3/P1R3PP/6K1 b - -,0.0
6k1/q5pp/4p3/2rp1p2/1p3P2/1P1QP3/P1R3PP/6K1 w - -,0.0
2b1kr2/p6r/1pB1pQ2/5p2/2pP4/2P5/PP3P2/R5K1 b - -,26.0
rnbqkbnr/ppp2ppp/8/3pp3/8/P1N5/1PPPPPPP/R1BQKBNR w KQkq -,-20.0
rnbqkbnr/ppp2ppp/4p3/3P4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq -,0.0
r1bq1rk1/pppnppbp/3p1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,42.0
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -,22.0
r1bqkbnr/pp1p1ppp/2n1p3/2p5/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,19.0
r1bqk1nr/pp1pppbp/2n3p1/8/2P1P3/1N2B3/PP3PPP/RN1QKB1R w KQkq -,39.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2P5/PP3PPP/RNBQKBNR w KQkq -,53.0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq -,17.0
